Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Existence of commercial and service activities by type - banking institutions,Existence of commercial and service activities by type - service institutions,Existence of commercial and service activities by type - commerce,Town,refArea,Total number of commercial institutions by size - number of small institutions,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Total number of service institutions,Total number of non banking financial institutions,Observation URI,publisher,dataset,references
1,0,0,0,0,Ouadi El-Karm El-Matn,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+El-Karm+El-Matn,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Ouadi El-Laymoun,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+El-Laymoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Ouadi Es-Sitt,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+Es-Sitt,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Ouadi Faara,http://dbpedia.org/resource/Hermel_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+Faara,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Ouadi Khaled,https://dbpedia.org/page/Akkar_Governorate,30,5,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+Khaled,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Ouadi Nakhleh,"http://dbpedia.org/resource/Tripoli_District,_Lebanon",0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+Nakhleh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Ouadi Qannoubine,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouadi+Qannoubine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Ouardaniyeh,https://dbpedia.org/page/Mount_Lebanon_Governorate,15,3,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouardaniyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Ouarhaniyeh,https://dbpedia.org/page/Mount_Lebanon_Governorate,2,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouarhaniyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Ouata El-Jaouz,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ouata+El-Jaouz,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Qaa Baalbek,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaa+Baalbek,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qaa Er-Rim,http://dbpedia.org/resource/ZahlÃ©_District,5,4,10,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaa+Er-Rim,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qaaqaaiyet Ej-Jisr,https://dbpedia.org/page/Nabatieh_Governorate,50,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaaqaaiyet+Ej-Jisr,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Qaaqaiyet Es-Snaoubar,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaaqaiyet+Es-Snaoubar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qaaqour,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaaqour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qabaait,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qabaait,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,1,1,Qabb Elias,http://dbpedia.org/resource/ZahlÃ©_District,100,30,5,15,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qabb+Elias,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Qabrikha,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qabrikha,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Qachlaq,https://dbpedia.org/page/Akkar_Governorate,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qachlaq,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qahmez,http://dbpedia.org/resource/Byblos_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qahmez,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,1,1,1,Qalaa,http://dbpedia.org/resource/Baabda_District,60,1,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qalaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Qalamoun,"http://dbpedia.org/resource/Tripoli_District,_Lebanon",10,45,3,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qalamoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qalaouiyeh,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qalaouiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qalhat,https://dbpedia.org/page/North_Governorate,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qalhat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qannebet Salima,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qannebet+Salima,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qantara,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qantara,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Qantarat Aakkar,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qantarat+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qanya,https://dbpedia.org/page/Akkar_Governorate,25,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qanya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qaouzah,http://dbpedia.org/resource/Bint_Jbeil_District,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaouzah,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qaraaoun,http://dbpedia.org/resource/Western_Beqaa_District,45,6,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaraaoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qarah Bach,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qarah+Bach,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Qardaf,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qardaf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Qarha,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qarha,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qarha Baalbek,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qarha+Baalbek,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qarhaiya,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qarhaiya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qarsaita,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qarsaita,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qartaba,http://dbpedia.org/resource/Byblos_District,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qartaba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qaser,http://dbpedia.org/resource/Hermel_District,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaser,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qatrani,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qatrani,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qattineh-Miniyeh,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qattineh-Miniyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qaynour,http://dbpedia.org/resource/Bsharri_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaynour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qaytouleh,https://dbpedia.org/page/South_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qaytouleh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Qbaiyat Aakkar,https://dbpedia.org/page/Akkar_Governorate,200,0,1,0,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qbaiyat+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qelaya,http://dbpedia.org/resource/Western_Beqaa_District,7,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qelaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qennabet Broummana,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qennabet+Broummana,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qennarit,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qennarit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Qild Es Sabea,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qild+Es+Sabea,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qlaiaa,http://dbpedia.org/resource/Marjeyoun_District,11,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qlaiaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Qlaileh Harfoush,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qlaileh+Harfoush,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Qlaileh Sour,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qlaileh+Sour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qleiaat Aakkar,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qleiaat+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qleiaat Kesrouane,http://dbpedia.org/resource/Keserwan_District,20,15,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qleiaat+Kesrouane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qloud El-Baqieh,https://dbpedia.org/page/Akkar_Governorate,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qloud+El-Baqieh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Qmatiyeh,http://dbpedia.org/resource/Aley_District,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qmatiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qnat,http://dbpedia.org/resource/Bsharri_District,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qnat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qobbayaa,http://dbpedia.org/resource/Baabda_District,123,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qobbayaa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qornayel,http://dbpedia.org/resource/Baabda_District,78,3,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qornayel,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,1,1,Qornet Aakkar,https://dbpedia.org/page/Akkar_Governorate,30,0,0,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qornet+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Qornet El-Hamra,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qornet+El-Hamra,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qortada,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qortada,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qoubber Chamra,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qoubber+Chamra,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qounaitra,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qounaitra,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qoussaya,http://dbpedia.org/resource/ZahlÃ©_District,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qoussaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Qraine,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qraine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Qraiyat,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qraiyat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Qraiyeh,http://dbpedia.org/resource/Baabda_District,9,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qraiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,1,Qraiyet Jlayse,http://dbpedia.org/resource/Byblos_District,3,0,0,3,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qraiyet+Jlayse,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Qraiyet Saida,http://dbpedia.org/resource/Sidon_District,70,4,0,2,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qraiyet+Saida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qsaibet En-Nabatiyeh,https://dbpedia.org/page/Nabatieh_Governorate,50,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qsaibet+En-Nabatiyeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Qsarnaba,https://dbpedia.org/page/Baalbek-Hermel_Governorate,150,2,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Qsarnaba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Raachine,http://dbpedia.org/resource/Keserwan_District,1,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Raachine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Raait,http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Raait,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Rabb Et-Tlatine,http://dbpedia.org/resource/Marjeyoun_District,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rabb+Et-Tlatine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,1,0,1,Rabieh,http://dbpedia.org/resource/Matn_District,15,6,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rabieh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Rachaaine,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rachaaine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Rachaf,http://dbpedia.org/resource/Bint_Jbeil_District,7,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rachaf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Rachaiya El-Foukhar,http://dbpedia.org/resource/Hasbaya_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rachaiya+El-Foukhar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Rachaya El Wadi,https://dbpedia.org/page/Beqaa_Governorate,30,2,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rachaya+El+Wadi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Rafid Rachaya,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rafid+Rachaya,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Rahbeh,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Rahbeh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Ram,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ram,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Ramlieh,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ramlieh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Ramyet Bent Jbeil,http://dbpedia.org/resource/Bint_Jbeil_District,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Ramyet+Bent+Jbeil,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
